,Survival,Pclass,Sex,Age,Count,AgeGroup
510,survived,lower,male,29.0,1,adults
512,survived,upper,male,36.0,1,adults
513,survived,upper,female,54.0,1,adults
514,deceased,lower,male,24.0,1,adults
515,deceased,upper,male,47.0,1,adults
516,survived,middle,female,34.0,1,adults
518,survived,middle,female,36.0,1,adults
519,deceased,lower,male,32.0,1,adults
520,survived,upper,female,30.0,1,adults
521,deceased,lower,male,22.0,1,adults
523,survived,upper,female,44.0,1,adults
525,deceased,lower,male,40.5,1,adults
526,survived,middle,female,50.0,1,adults
528,deceased,lower,male,39.0,1,adults
529,deceased,middle,male,23.0,1,adults
534,deceased,lower,female,30.0,1,adults
536,deceased,upper,male,45.0,1,adults
537,survived,upper,female,30.0,1,adults
539,survived,upper,female,22.0,1,adults
540,survived,upper,female,36.0,1,adults
543,survived,middle,male,32.0,1,adults
544,deceased,upper,male,50.0,1,adults
545,deceased,upper,male,64.0,1,adults
548,deceased,lower,male,33.0,1,adults
551,deceased,middle,male,27.0,1,adults
553,survived,lower,male,22.0,1,adults
554,survived,lower,female,22.0,1,adults
555,deceased,upper,male,62.0,1,adults
556,survived,upper,female,48.0,1,adults
558,survived,upper,female,39.0,1,adults
559,survived,lower,female,36.0,1,adults
561,deceased,lower,male,40.0,1,adults
562,deceased,middle,male,28.0,1,adults
565,deceased,lower,male,24.0,1,adults
567,deceased,lower,female,29.0,1,adults
569,survived,lower,male,32.0,1,adults
570,survived,middle,male,62.0,1,adults
571,survived,upper,female,53.0,1,adults
572,survived,upper,male,36.0,1,adults
576,survived,middle,female,34.0,1,adults
577,survived,upper,female,39.0,1,adults
579,survived,lower,male,32.0,1,adults
580,survived,middle,female,25.0,1,adults
581,survived,upper,female,39.0,1,adults
582,deceased,middle,male,54.0,1,adults
583,deceased,upper,male,36.0,1,adults
586,deceased,middle,male,47.0,1,adults
587,survived,upper,male,60.0,1,adults
588,deceased,lower,male,22.0,1,adults
590,deceased,lower,male,35.0,1,adults
591,survived,upper,female,52.0,1,adults
592,deceased,lower,male,47.0,1,adults
594,deceased,middle,male,37.0,1,adults
595,deceased,lower,male,36.0,1,adults
597,deceased,lower,male,49.0,1,adults
599,survived,upper,male,49.0,1,adults
600,survived,middle,female,24.0,1,adults
603,deceased,lower,male,44.0,1,adults
604,survived,upper,male,35.0,1,adults
605,deceased,lower,male,36.0,1,adults
606,deceased,lower,male,30.0,1,adults
607,survived,upper,male,27.0,1,adults
608,survived,middle,female,22.0,1,adults
609,survived,upper,female,40.0,1,adults
610,deceased,lower,female,39.0,1,adults
614,deceased,lower,male,35.0,1,adults
615,survived,middle,female,24.0,1,adults
616,deceased,lower,male,34.0,1,adults
617,deceased,lower,female,26.0,1,adults
619,deceased,middle,male,26.0,1,adults
620,deceased,lower,male,27.0,1,adults
621,survived,upper,male,42.0,1,adults
622,survived,lower,male,20.0,1,adults
623,deceased,lower,male,21.0,1,adults
624,deceased,lower,male,21.0,1,adults
625,deceased,upper,male,61.0,1,adults
626,deceased,middle,male,57.0,1,adults
627,survived,upper,female,21.0,1,adults
628,deceased,lower,male,26.0,1,adults
631,deceased,lower,male,51.0,1,adults
632,survived,upper,male,32.0,1,adults
635,survived,middle,female,28.0,1,adults
636,deceased,lower,male,32.0,1,adults
637,deceased,middle,male,31.0,1,adults
638,deceased,lower,female,41.0,1,adults
640,deceased,lower,male,20.0,1,adults
641,survived,upper,female,24.0,1,adults
645,survived,upper,male,48.0,1,adults
647,survived,upper,male,56.0,1,adults
649,survived,lower,female,23.0,1,adults
652,deceased,lower,male,21.0,1,adults
655,deceased,middle,male,24.0,1,adults
657,deceased,lower,female,32.0,1,adults
658,deceased,middle,male,23.0,1,adults
659,deceased,upper,male,58.0,1,adults
660,survived,upper,male,50.0,1,adults
661,deceased,lower,male,40.0,1,adults
662,deceased,upper,male,47.0,1,adults
663,deceased,lower,male,36.0,1,adults
664,survived,lower,male,20.0,1,adults
665,deceased,middle,male,32.0,1,adults
666,deceased,middle,male,25.0,1,adults
668,deceased,lower,male,43.0,1,adults
670,survived,middle,female,40.0,1,adults
671,deceased,upper,male,31.0,1,adults
673,survived,middle,male,31.0,1,adults
676,deceased,lower,male,24.5,1,adults
678,deceased,lower,female,43.0,1,adults
679,survived,upper,male,36.0,1,adults
681,survived,upper,male,27.0,1,adults
682,deceased,lower,male,20.0,1,adults
684,deceased,middle,male,60.0,1,adults
685,deceased,middle,male,25.0,1,adults
690,survived,upper,male,31.0,1,adults
693,deceased,lower,male,25.0,1,adults
694,deceased,upper,male,60.0,1,adults
695,deceased,middle,male,52.0,1,adults
696,deceased,lower,male,44.0,1,adults
698,deceased,upper,male,49.0,1,adults
699,deceased,lower,male,42.0,1,adults
701,survived,upper,male,35.0,1,adults
703,deceased,lower,male,25.0,1,adults
704,deceased,lower,male,26.0,1,adults
705,deceased,middle,male,39.0,1,adults
706,survived,middle,female,45.0,1,adults
707,survived,upper,male,42.0,1,adults
708,survived,upper,female,22.0,1,adults
710,survived,upper,female,24.0,1,adults
712,survived,upper,male,48.0,1,adults
713,deceased,lower,male,29.0,1,adults
714,deceased,middle,male,52.0,1,adults
716,survived,upper,female,38.0,1,adults
717,survived,middle,female,27.0,1,adults
719,deceased,lower,male,33.0,1,adults
722,deceased,middle,male,34.0,1,adults
723,deceased,middle,male,50.0,1,adults
724,survived,upper,male,27.0,1,adults
725,deceased,lower,male,20.0,1,adults
726,survived,middle,female,30.0,1,adults
728,deceased,middle,male,25.0,1,adults
729,deceased,lower,female,25.0,1,adults
730,survived,upper,female,29.0,1,adults
733,deceased,middle,male,23.0,1,adults
734,deceased,middle,male,23.0,1,adults
735,deceased,lower,male,28.5,1,adults
736,deceased,lower,female,48.0,1,adults
737,survived,upper,male,35.0,1,adults
741,deceased,upper,male,36.0,1,adults
742,survived,upper,female,21.0,1,adults
743,deceased,lower,male,24.0,1,adults
744,survived,lower,male,31.0,1,adults
747,survived,middle,female,30.0,1,adults
749,deceased,lower,male,31.0,1,adults
752,deceased,lower,male,33.0,1,adults
753,deceased,lower,male,23.0,1,adults
754,survived,middle,female,48.0,1,adults
756,deceased,lower,male,28.0,1,adults
758,deceased,lower,male,34.0,1,adults
759,survived,upper,female,33.0,1,adults
761,deceased,lower,male,41.0,1,adults
762,survived,lower,male,20.0,1,adults
763,survived,upper,female,36.0,1,adults
765,survived,upper,female,51.0,1,adults
767,deceased,lower,female,30.5,1,adults
769,deceased,lower,male,32.0,1,adults
770,deceased,lower,male,24.0,1,adults
771,deceased,lower,male,48.0,1,adults
772,deceased,middle,female,57.0,1,adults
774,survived,middle,female,54.0,1,adults
779,survived,upper,female,43.0,1,adults
782,deceased,upper,male,29.0,1,adults
784,deceased,lower,male,25.0,1,adults
785,deceased,lower,male,25.0,1,adults
789,deceased,upper,male,46.0,1,adults
794,deceased,lower,male,25.0,1,adults
795,deceased,middle,male,39.0,1,adults
796,survived,upper,female,49.0,1,adults
797,survived,lower,female,31.0,1,adults
798,deceased,lower,male,30.0,1,adults
799,deceased,lower,female,30.0,1,adults
800,deceased,middle,male,34.0,1,adults
801,survived,middle,female,31.0,1,adults
804,survived,lower,male,27.0,1,adults
805,deceased,lower,male,31.0,1,adults
806,deceased,upper,male,39.0,1,adults
808,deceased,middle,male,39.0,1,adults
809,survived,upper,female,33.0,1,adults
810,deceased,lower,male,26.0,1,adults
811,deceased,lower,male,39.0,1,adults
812,deceased,middle,male,35.0,1,adults
814,deceased,lower,male,30.5,1,adults
816,deceased,lower,female,23.0,1,adults
817,deceased,middle,male,31.0,1,adults
818,deceased,lower,male,43.0,1,adults
820,survived,upper,female,52.0,1,adults
821,survived,lower,male,27.0,1,adults
822,deceased,upper,male,38.0,1,adults
823,survived,lower,female,27.0,1,adults
829,survived,upper,female,62.0,1,adults
833,deceased,lower,male,23.0,1,adults
835,survived,upper,female,39.0,1,adults
836,deceased,lower,male,21.0,1,adults
838,survived,lower,male,32.0,1,adults
840,deceased,lower,male,20.0,1,adults
842,survived,upper,female,30.0,1,adults
843,deceased,lower,male,34.5,1,adults
845,deceased,lower,male,42.0,1,adults
847,deceased,lower,male,35.0,1,adults
848,deceased,middle,male,28.0,1,adults
854,deceased,middle,female,44.0,1,adults
856,survived,upper,female,45.0,1,adults
857,survived,upper,male,51.0,1,adults
858,survived,lower,female,24.0,1,adults
860,deceased,lower,male,41.0,1,adults
861,deceased,middle,male,21.0,1,adults
862,survived,upper,female,48.0,1,adults
864,deceased,middle,male,24.0,1,adults
865,survived,middle,female,42.0,1,adults
866,survived,middle,female,27.0,1,adults
867,deceased,upper,male,31.0,1,adults
870,deceased,lower,male,26.0,1,adults
871,survived,upper,female,47.0,1,adults
872,deceased,upper,male,33.0,1,adults
873,deceased,lower,male,47.0,1,adults
874,survived,middle,female,28.0,1,adults
876,deceased,lower,male,20.0,1,adults
879,survived,upper,female,56.0,1,adults
880,survived,middle,female,25.0,1,adults
881,deceased,lower,male,33.0,1,adults
882,deceased,lower,female,22.0,1,adults
883,deceased,middle,male,28.0,1,adults
884,deceased,lower,male,25.0,1,adults
885,deceased,lower,female,39.0,1,adults
886,deceased,middle,male,27.0,1,adults
889,survived,upper,male,26.0,1,adults
890,deceased,lower,male,32.0,1,adults
