,Survival,Pclass,Sex,Age,Count,AgeGroup
307,survived,upper,female,17.0,1,children
308,deceased,middle,male,30.0,1,adults
309,survived,upper,female,30.0,1,adults
310,survived,upper,female,24.0,1,adults
311,survived,upper,female,18.0,1,children
312,deceased,middle,female,26.0,1,adults
313,deceased,lower,male,28.0,1,adults
314,deceased,middle,male,43.0,1,adults
315,survived,lower,female,26.0,1,adults
316,survived,middle,female,24.0,1,adults
317,deceased,middle,male,54.0,1,adults
318,survived,upper,female,31.0,1,adults
319,survived,upper,female,40.0,1,adults
320,deceased,lower,male,22.0,1,adults
321,deceased,lower,male,27.0,1,adults
322,survived,middle,female,30.0,1,adults
323,survived,middle,female,22.0,1,adults
324,deceased,lower,male,,1,Seniors
325,survived,upper,female,36.0,1,adults
326,deceased,lower,male,61.0,1,adults
327,survived,middle,female,36.0,1,adults
328,survived,lower,female,31.0,1,adults
329,survived,upper,female,16.0,1,children
330,survived,lower,female,,1,Seniors
331,deceased,upper,male,45.5,1,adults
332,deceased,upper,male,38.0,1,adults
333,deceased,lower,male,16.0,1,children
334,survived,upper,female,,1,Seniors
335,deceased,lower,male,,1,Seniors
336,deceased,upper,male,29.0,1,adults
337,survived,upper,female,41.0,1,adults
338,survived,lower,male,45.0,1,adults
339,deceased,upper,male,45.0,1,adults
340,survived,middle,male,2.0,1,children
341,survived,upper,female,24.0,1,adults
342,deceased,middle,male,28.0,1,adults
343,deceased,middle,male,25.0,1,adults
344,deceased,middle,male,36.0,1,adults
345,survived,middle,female,24.0,1,adults
346,survived,middle,female,40.0,1,adults
347,survived,lower,female,,1,Seniors
348,survived,lower,male,3.0,1,children
349,deceased,lower,male,42.0,1,adults
350,deceased,lower,male,23.0,1,adults
351,deceased,upper,male,,1,Seniors
352,deceased,lower,male,15.0,1,children
353,deceased,lower,male,25.0,1,adults
354,deceased,lower,male,,1,Seniors
355,deceased,lower,male,28.0,1,adults
356,survived,upper,female,22.0,1,adults
357,deceased,middle,female,38.0,1,adults
358,survived,lower,female,,1,Seniors
359,survived,lower,female,,1,Seniors
360,deceased,lower,male,40.0,1,adults
361,deceased,middle,male,29.0,1,adults
362,deceased,lower,female,45.0,1,adults
363,deceased,lower,male,35.0,1,adults
364,deceased,lower,male,,1,Seniors
365,deceased,lower,male,30.0,1,adults
366,survived,upper,female,60.0,1,adults
367,survived,lower,female,,1,Seniors
368,survived,lower,female,,1,Seniors
369,survived,upper,female,24.0,1,adults
370,survived,upper,male,25.0,1,adults
371,deceased,lower,male,18.0,1,children
372,deceased,lower,male,19.0,1,Seniors
373,deceased,upper,male,22.0,1,adults
374,deceased,lower,female,3.0,1,children
375,survived,upper,female,,1,Seniors
376,survived,lower,female,22.0,1,adults
377,deceased,upper,male,27.0,1,adults
378,deceased,lower,male,20.0,1,adults
379,deceased,lower,male,19.0,1,Seniors
380,survived,upper,female,42.0,1,adults
381,survived,lower,female,1.0,1,children
382,deceased,lower,male,32.0,1,adults
383,survived,upper,female,35.0,1,adults
384,deceased,lower,male,,1,Seniors
385,deceased,middle,male,18.0,1,children
386,deceased,lower,male,1.0,1,children
387,survived,middle,female,36.0,1,adults
388,deceased,lower,male,,1,Seniors
389,survived,middle,female,17.0,1,children
390,survived,upper,male,36.0,1,adults
391,survived,lower,male,21.0,1,adults
392,deceased,lower,male,28.0,1,adults
393,survived,upper,female,23.0,1,adults
394,survived,lower,female,24.0,1,adults
395,deceased,lower,male,22.0,1,adults
396,deceased,lower,female,31.0,1,adults
397,deceased,middle,male,46.0,1,adults
398,deceased,middle,male,23.0,1,adults
399,survived,middle,female,28.0,1,adults
400,survived,lower,male,39.0,1,adults
401,deceased,lower,male,26.0,1,adults
402,deceased,lower,female,21.0,1,adults
403,deceased,lower,male,28.0,1,adults
404,deceased,lower,female,20.0,1,adults
405,deceased,middle,male,34.0,1,adults
406,deceased,lower,male,51.0,1,adults
407,survived,middle,male,3.0,1,children
408,deceased,lower,male,21.0,1,adults
409,deceased,lower,female,,1,Seniors
410,deceased,lower,male,,1,Seniors
411,deceased,lower,male,,1,Seniors
412,survived,upper,female,33.0,1,adults
413,deceased,middle,male,,1,Seniors
414,survived,lower,male,44.0,1,adults
415,deceased,lower,female,,1,Seniors
416,survived,middle,female,34.0,1,adults
417,survived,middle,female,18.0,1,children
418,deceased,middle,male,30.0,1,adults
419,deceased,lower,female,10.0,1,children
420,deceased,lower,male,,1,Seniors
421,deceased,lower,male,21.0,1,adults
422,deceased,lower,male,29.0,1,adults
423,deceased,lower,female,28.0,1,adults
424,deceased,lower,male,18.0,1,children
425,deceased,lower,male,,1,Seniors
426,survived,middle,female,28.0,1,adults
427,survived,middle,female,19.0,1,Seniors
428,deceased,lower,male,,1,Seniors
429,survived,lower,male,32.0,1,adults
430,survived,upper,male,28.0,1,adults
431,survived,lower,female,,1,Seniors
432,survived,middle,female,42.0,1,adults
433,deceased,lower,male,17.0,1,children
434,deceased,upper,male,50.0,1,adults
435,survived,upper,female,14.0,1,children
436,deceased,lower,female,21.0,1,adults
437,survived,middle,female,24.0,1,adults
438,deceased,upper,male,64.0,1,adults
439,deceased,middle,male,31.0,1,adults
440,survived,middle,female,45.0,1,adults
441,deceased,lower,male,20.0,1,adults
442,deceased,lower,male,25.0,1,adults
443,survived,middle,female,28.0,1,adults
444,survived,lower,male,,1,Seniors
445,survived,upper,male,4.0,1,children
446,survived,middle,female,13.0,1,children
447,survived,upper,male,34.0,1,adults
448,survived,lower,female,5.0,1,children
449,survived,upper,male,52.0,1,adults
450,deceased,middle,male,36.0,1,adults
451,deceased,lower,male,,1,Seniors
452,deceased,upper,male,30.0,1,adults
453,survived,upper,male,49.0,1,adults
454,deceased,lower,male,,1,Seniors
455,survived,lower,male,29.0,1,adults
456,deceased,upper,male,65.0,1,Seniors
457,survived,upper,female,,1,Seniors
458,survived,middle,female,50.0,1,adults
459,deceased,lower,male,,1,Seniors
460,survived,upper,male,48.0,1,adults
461,deceased,lower,male,34.0,1,adults
462,deceased,upper,male,47.0,1,adults
463,deceased,middle,male,48.0,1,adults
464,deceased,lower,male,,1,Seniors
465,deceased,lower,male,38.0,1,adults
466,deceased,middle,male,,1,Seniors
467,deceased,upper,male,56.0,1,adults
468,deceased,lower,male,,1,Seniors
469,survived,lower,female,0.75,1,children
470,deceased,lower,male,,1,Seniors
471,deceased,lower,male,38.0,1,adults
472,survived,middle,female,33.0,1,adults
473,survived,middle,female,23.0,1,adults
474,deceased,lower,female,22.0,1,adults
475,deceased,upper,male,,1,Seniors
476,deceased,middle,male,34.0,1,adults
477,deceased,lower,male,29.0,1,adults
478,deceased,lower,male,22.0,1,adults
479,survived,lower,female,2.0,1,children
480,deceased,lower,male,9.0,1,children
481,deceased,middle,male,,1,Seniors
482,deceased,lower,male,50.0,1,adults
483,survived,lower,female,63.0,1,adults
484,survived,upper,male,25.0,1,adults
485,deceased,lower,female,,1,Seniors
486,survived,upper,female,35.0,1,adults
487,deceased,upper,male,58.0,1,adults
488,deceased,lower,male,30.0,1,adults
489,survived,lower,male,9.0,1,children
490,deceased,lower,male,,1,Seniors
491,deceased,lower,male,21.0,1,adults
492,deceased,upper,male,55.0,1,adults
493,deceased,upper,male,71.0,1,Seniors
494,deceased,lower,male,21.0,1,adults
495,deceased,lower,male,,1,Seniors
496,survived,upper,female,54.0,1,adults
497,deceased,lower,male,,1,Seniors
498,deceased,upper,female,25.0,1,adults
499,deceased,lower,male,24.0,1,adults
500,deceased,lower,male,17.0,1,children
501,deceased,lower,female,21.0,1,adults
502,deceased,lower,female,,1,Seniors
503,deceased,lower,female,37.0,1,adults
504,survived,upper,female,16.0,1,children
505,deceased,upper,male,18.0,1,children
506,survived,middle,female,33.0,1,adults
507,survived,upper,male,,1,Seniors
508,deceased,lower,male,28.0,1,adults
509,survived,lower,male,26.0,1,adults
510,survived,lower,male,29.0,1,adults
511,deceased,lower,male,,1,Seniors
512,survived,upper,male,36.0,1,adults
513,survived,upper,female,54.0,1,adults
514,deceased,lower,male,24.0,1,adults
515,deceased,upper,male,47.0,1,adults
516,survived,middle,female,34.0,1,adults
517,deceased,lower,male,,1,Seniors
518,survived,middle,female,36.0,1,adults
519,deceased,lower,male,32.0,1,adults
520,survived,upper,female,30.0,1,adults
521,deceased,lower,male,22.0,1,adults
522,deceased,lower,male,,1,Seniors
523,survived,upper,female,44.0,1,adults
524,deceased,lower,male,,1,Seniors
525,deceased,lower,male,40.5,1,adults
526,survived,middle,female,50.0,1,adults
527,deceased,upper,male,,1,Seniors
528,deceased,lower,male,39.0,1,adults
529,deceased,middle,male,23.0,1,adults
530,survived,middle,female,2.0,1,children
531,deceased,lower,male,,1,Seniors
532,deceased,lower,male,17.0,1,children
533,survived,lower,female,,1,Seniors
534,deceased,lower,female,30.0,1,adults
535,survived,middle,female,7.0,1,children
536,deceased,upper,male,45.0,1,adults
537,survived,upper,female,30.0,1,adults
538,deceased,lower,male,,1,Seniors
539,survived,upper,female,22.0,1,adults
540,survived,upper,female,36.0,1,adults
541,deceased,lower,female,9.0,1,children
542,deceased,lower,female,11.0,1,children
543,survived,middle,male,32.0,1,adults
544,deceased,upper,male,50.0,1,adults
545,deceased,upper,male,64.0,1,adults
546,survived,middle,female,19.0,1,Seniors
547,survived,middle,male,,1,Seniors
548,deceased,lower,male,33.0,1,adults
549,survived,middle,male,8.0,1,children
550,survived,upper,male,17.0,1,children
551,deceased,middle,male,27.0,1,adults
552,deceased,lower,male,,1,Seniors
553,survived,lower,male,22.0,1,adults
554,survived,lower,female,22.0,1,adults
555,deceased,upper,male,62.0,1,adults
556,survived,upper,female,48.0,1,adults
557,deceased,upper,male,,1,Seniors
558,survived,upper,female,39.0,1,adults
559,survived,lower,female,36.0,1,adults
560,deceased,lower,male,,1,Seniors
561,deceased,lower,male,40.0,1,adults
562,deceased,middle,male,28.0,1,adults
563,deceased,lower,male,,1,Seniors
564,deceased,lower,female,,1,Seniors
565,deceased,lower,male,24.0,1,adults
566,deceased,lower,male,19.0,1,Seniors
567,deceased,lower,female,29.0,1,adults
568,deceased,lower,male,,1,Seniors
569,survived,lower,male,32.0,1,adults
570,survived,middle,male,62.0,1,adults
571,survived,upper,female,53.0,1,adults
572,survived,upper,male,36.0,1,adults
573,survived,lower,female,,1,Seniors
574,deceased,lower,male,16.0,1,children
575,deceased,lower,male,19.0,1,Seniors
576,survived,middle,female,34.0,1,adults
577,survived,upper,female,39.0,1,adults
578,deceased,lower,female,,1,Seniors
579,survived,lower,male,32.0,1,adults
580,survived,middle,female,25.0,1,adults
581,survived,upper,female,39.0,1,adults
582,deceased,middle,male,54.0,1,adults
583,deceased,upper,male,36.0,1,adults
584,deceased,lower,male,,1,Seniors
585,survived,upper,female,18.0,1,children
586,deceased,middle,male,47.0,1,adults
587,survived,upper,male,60.0,1,adults
588,deceased,lower,male,22.0,1,adults
589,deceased,lower,male,,1,Seniors
590,deceased,lower,male,35.0,1,adults
591,survived,upper,female,52.0,1,adults
592,deceased,lower,male,47.0,1,adults
593,deceased,lower,female,,1,Seniors
594,deceased,middle,male,37.0,1,adults
595,deceased,lower,male,36.0,1,adults
596,survived,middle,female,,1,Seniors
597,deceased,lower,male,49.0,1,adults
598,deceased,lower,male,,1,Seniors
599,survived,upper,male,49.0,1,adults
600,survived,middle,female,24.0,1,adults
601,deceased,lower,male,,1,Seniors
602,deceased,upper,male,,1,Seniors
603,deceased,lower,male,44.0,1,adults
604,survived,upper,male,35.0,1,adults
605,deceased,lower,male,36.0,1,adults
606,deceased,lower,male,30.0,1,adults
607,survived,upper,male,27.0,1,adults
608,survived,middle,female,22.0,1,adults
609,survived,upper,female,40.0,1,adults
610,deceased,lower,female,39.0,1,adults
611,deceased,lower,male,,1,Seniors
612,survived,lower,female,,1,Seniors
613,deceased,lower,male,,1,Seniors
614,deceased,lower,male,35.0,1,adults
615,survived,middle,female,24.0,1,adults
616,deceased,lower,male,34.0,1,adults
617,deceased,lower,female,26.0,1,adults
618,survived,middle,female,4.0,1,children
619,deceased,middle,male,26.0,1,adults
620,deceased,lower,male,27.0,1,adults
621,survived,upper,male,42.0,1,adults
622,survived,lower,male,20.0,1,adults
623,deceased,lower,male,21.0,1,adults
624,deceased,lower,male,21.0,1,adults
625,deceased,upper,male,61.0,1,adults
626,deceased,middle,male,57.0,1,adults
627,survived,upper,female,21.0,1,adults
628,deceased,lower,male,26.0,1,adults
629,deceased,lower,male,,1,Seniors
630,survived,upper,male,80.0,1,Seniors
631,deceased,lower,male,51.0,1,adults
632,survived,upper,male,32.0,1,adults
633,deceased,upper,male,,1,Seniors
634,deceased,lower,female,9.0,1,children
635,survived,middle,female,28.0,1,adults
636,deceased,lower,male,32.0,1,adults
637,deceased,middle,male,31.0,1,adults
638,deceased,lower,female,41.0,1,adults
639,deceased,lower,male,,1,Seniors
640,deceased,lower,male,20.0,1,adults
641,survived,upper,female,24.0,1,adults
642,deceased,lower,female,2.0,1,children
643,survived,lower,male,,1,Seniors
644,survived,lower,female,0.75,1,children
645,survived,upper,male,48.0,1,adults
646,deceased,lower,male,19.0,1,Seniors
647,survived,upper,male,56.0,1,adults
648,deceased,lower,male,,1,Seniors
649,survived,lower,female,23.0,1,adults
650,deceased,lower,male,,1,Seniors
651,survived,middle,female,18.0,1,children
652,deceased,lower,male,21.0,1,adults
653,survived,lower,female,,1,Seniors
654,deceased,lower,female,18.0,1,children
655,deceased,middle,male,24.0,1,adults
656,deceased,lower,male,,1,Seniors
657,deceased,lower,female,32.0,1,adults
658,deceased,middle,male,23.0,1,adults
659,deceased,upper,male,58.0,1,adults
660,survived,upper,male,50.0,1,adults
661,deceased,lower,male,40.0,1,adults
662,deceased,upper,male,47.0,1,adults
663,deceased,lower,male,36.0,1,adults
664,survived,lower,male,20.0,1,adults
665,deceased,middle,male,32.0,1,adults
666,deceased,middle,male,25.0,1,adults
667,deceased,lower,male,,1,Seniors
668,deceased,lower,male,43.0,1,adults
669,survived,upper,female,,1,Seniors
670,survived,middle,female,40.0,1,adults
671,deceased,upper,male,31.0,1,adults
672,deceased,middle,male,70.0,1,Seniors
673,survived,middle,male,31.0,1,adults
674,deceased,middle,male,,1,Seniors
675,deceased,lower,male,18.0,1,children
676,deceased,lower,male,24.5,1,adults
677,survived,lower,female,18.0,1,children
678,deceased,lower,female,43.0,1,adults
679,survived,upper,male,36.0,1,adults
680,deceased,lower,female,,1,Seniors
681,survived,upper,male,27.0,1,adults
682,deceased,lower,male,20.0,1,adults
683,deceased,lower,male,14.0,1,children
684,deceased,middle,male,60.0,1,adults
685,deceased,middle,male,25.0,1,adults
686,deceased,lower,male,14.0,1,children
687,deceased,lower,male,19.0,1,Seniors
688,deceased,lower,male,18.0,1,children
689,survived,upper,female,15.0,1,children
690,survived,upper,male,31.0,1,adults
691,survived,lower,female,4.0,1,children
692,survived,lower,male,,1,Seniors
693,deceased,lower,male,25.0,1,adults
694,deceased,upper,male,60.0,1,adults
695,deceased,middle,male,52.0,1,adults
696,deceased,lower,male,44.0,1,adults
697,survived,lower,female,,1,Seniors
698,deceased,upper,male,49.0,1,adults
699,deceased,lower,male,42.0,1,adults
700,survived,upper,female,18.0,1,children
701,survived,upper,male,35.0,1,adults
702,deceased,lower,female,18.0,1,children
703,deceased,lower,male,25.0,1,adults
704,deceased,lower,male,26.0,1,adults
705,deceased,middle,male,39.0,1,adults
706,survived,middle,female,45.0,1,adults
707,survived,upper,male,42.0,1,adults
708,survived,upper,female,22.0,1,adults
709,survived,lower,male,,1,Seniors
710,survived,upper,female,24.0,1,adults
711,deceased,upper,male,,1,Seniors
712,survived,upper,male,48.0,1,adults
713,deceased,lower,male,29.0,1,adults
714,deceased,middle,male,52.0,1,adults
715,deceased,lower,male,19.0,1,Seniors
716,survived,upper,female,38.0,1,adults
717,survived,middle,female,27.0,1,adults
718,deceased,lower,male,,1,Seniors
719,deceased,lower,male,33.0,1,adults
